director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Sara Taksler,Bassem Youssef,Jon Stewart,unknown,Documentary,tickling giants,Bassem YoussefJon StewartunknownSara TakslerDocumentary
Phillip Guzman,Lori Petty,Jesse Bradford,Brea Grant,Horror Thriller,dead awake,Lori PettyJesse BradfordBrea GrantPhillip GuzmanHorror Thriller
Martin Provost,Catherine Frot,Catherine Deneuve,Olivier Gourmet,Comedy Drama,the midwife,Catherine FrotCatherine DeneuveOlivier GourmetMartin ProvostComedy Drama
Mark Williams,Gerard Butler,Gretchen Mol,Willem Dafoe,Drama,a family man,Gerard ButlerGretchen MolWillem DafoeMark WilliamsDrama
Barry Levinson,Robert De Niro,Michelle Pfeiffer,Hank Azaria,Crime Drama History TV Movie,the wizard of lies,Robert De NiroMichelle PfeifferHank AzariaBarry LevinsonCrime Drama History TV Movie
Bill Plympton Jim Lujan,Charley Rossman,Robert LuJane,unknown,Comedy Action Animation,revengeance,Charley RossmanRobert LuJaneunknownBill Plympton Jim LujanComedy Action Animation
Hiroyuki Seshita,Takahiro Sakurai,Kana Hanazawa,Sora Amamiya,Action Animation Drama Horror Sci-Fi,blame!,Takahiro SakuraiKana HanazawaSora AmamiyaHiroyuki SeshitaAction Animation Drama Horror Sci-Fi
Peter Malota,Jean-Claude Van Damme,Peter Stormare,María Conchita Alonso,Action,kill 'em all,Jean-Claude Van DammePeter StormareMaría Conchita AlonsoPeter MalotaAction
Tim Smit,Dan Stevens,Bérénice Marlohe,Charity Wakefield,Sci-Fi,kill switch,Dan StevensBérénice MarloheCharity WakefieldTim SmitSci-Fi
Ana Lily Amirpour,Suki Waterhouse,Jason Momoa,Jayda Fink,Thriller Romance Sci-Fi,the bad batch,Suki WaterhouseJason MomoaJayda FinkAna Lily AmirpourThriller Romance Sci-Fi
Sarah Harding,Rowan Atkinson,Lucy Cohu,Shaun Dingwall,TV Movie Crime Mystery Thriller,maigrets night at the crossroads,Rowan AtkinsonLucy CohuShaun DingwallSarah HardingTV Movie Crime Mystery Thriller
Matt Reeves,Andy Serkis,Woody Harrelson,Steve Zahn,Drama Sci-Fi War,war for the planet of the apes,Andy SerkisWoody HarrelsonSteve ZahnMatt ReevesDrama Sci-Fi War
Xavier Manrique,Shiloh Fernandez,Ashley Benson,Addison Timlin,Drama Comedy,chronically metropolitan,Shiloh FernandezAshley BensonAddison TimlinXavier ManriqueDrama Comedy
Luis Prieto,Halle Berry,Sage Correa,Chris McGinn,Drama Thriller,kidnap,Halle BerrySage CorreaChris McGinnLuis PrietoDrama Thriller
Derek Hui,Takeshi Kaneshiro,Zhou Dongyu,Ming Xi,Comedy Romance,this is not what i expected,Takeshi KaneshiroZhou DongyuMing XiDerek HuiComedy Romance
John Cameron Mitchell,Elle Fanning,Nicole Kidman,Ruth Wilson,Comedy Music Romance Sci-Fi,how to talk to girls at parties,Elle FanningNicole KidmanRuth WilsonJohn Cameron MitchellComedy Music Romance Sci-Fi
Noah Baumbach,Adam Sandler,Ben Stiller,Dustin Hoffman,Comedy,the meyerowitz stories,Adam SandlerBen StillerDustin HoffmanNoah BaumbachComedy
David Michôd,Brad Pitt,Anthony Hayes,John Magaro,Comedy Drama War,war machine,Brad PittAnthony HayesJohn MagaroDavid MichôdComedy Drama War
Josh Greenbaum,George Lazenby,Josh Lawson,Kassandra Clementi,Documentary Comedy,becoming bond,George LazenbyJosh LawsonKassandra ClementiJosh GreenbaumDocumentary Comedy
